trial_number,params,value
0,"{'learning_rate': 0.03574712922600244, 'num_leaves': 287, 'max_depth': 12, 'min_data_in_leaf': 64, 'feature_fraction': 0.6624074561769746, 'bagging_fraction': 0.662397808134481, 'bagging_freq': 1, 'lambda_l1': 0.6245760287469887, 'lambda_l2': 0.002570603566117596}",0.07530138935642243
1,"{'learning_rate': 0.11114989443094977, 'num_leaves': 25, 'max_depth': 15, 'min_data_in_leaf': 85, 'feature_fraction': 0.6849356442713105, 'bagging_fraction': 0.6727299868828402, 'bagging_freq': 2, 'lambda_l1': 5.472429642032189e-06, 'lambda_l2': 0.00052821153945323}",0.0908430731667558
2,"{'learning_rate': 0.04345454109729477, 'num_leaves': 101, 'max_depth': 10, 'min_data_in_leaf': 22, 'feature_fraction': 0.7168578594140872, 'bagging_fraction': 0.7465447373174766, 'bagging_freq': 5, 'lambda_l1': 0.11656915613247415, 'lambda_l2': 6.267062696005991e-07}",0.025183158946151307
3,"{'learning_rate': 0.05748924681991978, 'num_leaves': 186, 'max_depth': 3, 'min_data_in_leaf': 65, 'feature_fraction': 0.6682096494749166, 'bagging_fraction': 0.6260206371941118, 'bagging_freq': 10, 'lambda_l1': 4.905556676028766, 'lambda_l2': 0.1886149587855396}",0.07207964099467346
4,"{'learning_rate': 0.028180680291847244, 'num_leaves': 47, 'max_depth': 11, 'min_data_in_leaf': 50, 'feature_fraction': 0.6488152939379115, 'bagging_fraction': 0.798070764044508, 'bagging_freq': 1, 'lambda_l1': 1.5271567592511939, 'lambda_l2': 2.133142332373e-06}",0.049893557906982224
5,"{'learning_rate': 0.09519754482692679, 'num_leaves': 107, 'max_depth': 9, 'min_data_in_leaf': 59, 'feature_fraction': 0.6739417822102108, 'bagging_fraction': 0.9878338511058234, 'bagging_freq': 8, 'lambda_l1': 2.8542399074977594, 'lambda_l2': 1.1309571585271492}",0.04514628635191746
6,"{'learning_rate': 0.0764136186923332, 'num_leaves': 279, 'max_depth': 4, 'min_data_in_leaf': 27, 'feature_fraction': 0.6180909155642152, 'bagging_fraction': 0.7301321323053057, 'bagging_freq': 4, 'lambda_l1': 2.7678419414850017e-06, 'lambda_l2': 0.287499823474079}",0.028734702918288606
7,"{'learning_rate': 0.03364867144187955, 'num_leaves': 98, 'max_depth': 10, 'min_data_in_leaf': 22, 'feature_fraction': 0.9208787923016158, 'bagging_fraction': 0.6298202574719083, 'bagging_freq': 10, 'lambda_l1': 0.08916674715636552, 'lambda_l2': 6.143857495033091e-07}",0.025271336680745188
8,"{'learning_rate': 0.010189592979395137, 'num_leaves': 249, 'max_depth': 12, 'min_data_in_leaf': 76, 'feature_fraction': 0.9085081386743783, 'bagging_fraction': 0.6296178606936361, 'bagging_freq': 4, 'lambda_l1': 1.1036250149900698e-07, 'lambda_l2': 0.5860448217200526}",0.09987843189193214
9,"{'learning_rate': 0.08330803890301997, 'num_leaves': 112, 'max_depth': 3, 'min_data_in_leaf': 38, 'feature_fraction': 0.7300733288106988, 'bagging_fraction': 0.8918424713352257, 'bagging_freq': 7, 'lambda_l1': 0.9658611176861261, 'lambda_l2': 0.0001778010520878397}",0.028708192769921814
10,"{'learning_rate': 0.24893231508461813, 'num_leaves': 178, 'max_depth': 7, 'min_data_in_leaf': 11, 'feature_fraction': 0.8010124870699185, 'bagging_fraction': 0.8084932353340201, 'bagging_freq': 5, 'lambda_l1': 0.00413763088103686, 'lambda_l2': 2.2864821825098135e-08}",0.019569662610744144
11,"{'learning_rate': 0.2957379384814452, 'num_leaves': 191, 'max_depth': 7, 'min_data_in_leaf': 12, 'feature_fraction': 0.814249705614196, 'bagging_fraction': 0.7927585318653319, 'bagging_freq': 5, 'lambda_l1': 0.00351484076884852, 'lambda_l2': 1.1017359830810295e-08}",0.030543120440803973
12,"{'learning_rate': 0.24321511992490852, 'num_leaves': 153, 'max_depth': 7, 'min_data_in_leaf': 10, 'feature_fraction': 0.7874820875551369, 'bagging_fraction': 0.870727223238246, 'bagging_freq': 6, 'lambda_l1': 0.002183948743788136, 'lambda_l2': 1.0750002763382504e-08}",0.029253798199376225
13,"{'learning_rate': 0.015448108481432004, 'num_leaves': 151, 'max_depth': 7, 'min_data_in_leaf': 100, 'feature_fraction': 0.8275826942375709, 'bagging_fraction': 0.737130383967869, 'bagging_freq': 3, 'lambda_l1': 0.01830638360153771, 'lambda_l2': 1.0369636508613627e-06}",0.13349878531531795
14,"{'learning_rate': 0.1706871158077115, 'num_leaves': 222, 'max_depth': 5, 'min_data_in_leaf': 38, 'feature_fraction': 0.9972152599907467, 'bagging_fraction': 0.8604911724169197, 'bagging_freq': 6, 'lambda_l1': 0.0001550522721208974, 'lambda_l2': 1.4275785745857305e-07}",0.025761756121655294
15,"{'learning_rate': 0.1473058697485747, 'num_leaves': 71, 'max_depth': 8, 'min_data_in_leaf': 24, 'feature_fraction': 0.7527220305706597, 'bagging_fraction': 0.7410057780336431, 'bagging_freq': 8, 'lambda_l1': 5.4522348145562317e-05, 'lambda_l2': 2.7877113611683403e-05}",0.025169050107940127
16,"{'learning_rate': 0.15543521334308982, 'num_leaves': 60, 'max_depth': 6, 'min_data_in_leaf': 37, 'feature_fraction': 0.759569952989122, 'bagging_fraction': 0.9438599500782205, 'bagging_freq': 8, 'lambda_l1': 4.389054626434482e-05, 'lambda_l2': 1.820401464290403e-05}",0.024881427868428764
17,"{'learning_rate': 0.19224655979655758, 'num_leaves': 191, 'max_depth': 5, 'min_data_in_leaf': 45, 'feature_fraction': 0.875869770084707, 'bagging_fraction': 0.9993179469927519, 'bagging_freq': 8, 'lambda_l1': 2.1219899323605756e-08, 'lambda_l2': 0.010993417108982821}",0.02876301094504178
18,"{'learning_rate': 0.11971677241936413, 'num_leaves': 140, 'max_depth': 6, 'min_data_in_leaf': 33, 'feature_fraction': 0.7747598588028712, 'bagging_fraction': 0.930746924386335, 'bagging_freq': 9, 'lambda_l1': 1.3565258864098326e-05, 'lambda_l2': 1.2998497088695193e-05}",0.028420244822881163
19,"{'learning_rate': 0.2933533901909474, 'num_leaves': 69, 'max_depth': 5, 'min_data_in_leaf': 17, 'feature_fraction': 0.8501112699618188, 'bagging_fraction': 0.9287237512770188, 'bagging_freq': 7, 'lambda_l1': 0.0008258586145434091, 'lambda_l2': 6.38590855787011e-08}",0.026271223574392537
20,"{'learning_rate': 0.19681822862350787, 'num_leaves': 234, 'max_depth': 15, 'min_data_in_leaf': 45, 'feature_fraction': 0.971241147293149, 'bagging_fraction': 0.8275978983208648, 'bagging_freq': 7, 'lambda_l1': 4.0945297192354324e-07, 'lambda_l2': 8.802075014264812}",0.0269250908131773
21,"{'learning_rate': 0.13967097615308566, 'num_leaves': 67, 'max_depth': 9, 'min_data_in_leaf': 32, 'feature_fraction': 0.7568753059299751, 'bagging_fraction': 0.7645617438158507, 'bagging_freq': 8, 'lambda_l1': 7.816077884322422e-05, 'lambda_l2': 1.853625184289579e-05}",0.02616455098175468
22,"{'learning_rate': 0.15176491326831115, 'num_leaves': 29, 'max_depth': 8, 'min_data_in_leaf': 21, 'feature_fraction': 0.7392848940210656, 'bagging_fraction': 0.6997735240645564, 'bagging_freq': 9, 'lambda_l1': 4.0664124622619443e-05, 'lambda_l2': 1.9384186642142137e-05}",0.026752890347459996
23,"{'learning_rate': 0.2136762789246576, 'num_leaves': 72, 'max_depth': 8, 'min_data_in_leaf': 28, 'feature_fraction': 0.7844899299182373, 'bagging_fraction': 0.8308962230454137, 'bagging_freq': 9, 'lambda_l1': 0.0003420028404754344, 'lambda_l2': 0.00026957798361720446}",0.025050516862366375
24,"{'learning_rate': 0.2212891883931996, 'num_leaves': 123, 'max_depth': 6, 'min_data_in_leaf': 33, 'feature_fraction': 0.8011415969440966, 'bagging_fraction': 0.8341227854572728, 'bagging_freq': 9, 'lambda_l1': 0.0005319114282461712, 'lambda_l2': 0.02298774433689155}",0.026554051055187843
25,"{'learning_rate': 0.24137576973478164, 'num_leaves': 84, 'max_depth': 8, 'min_data_in_leaf': 17, 'feature_fraction': 0.7054760537375538, 'bagging_fraction': 0.9316754076154603, 'bagging_freq': 4, 'lambda_l1': 0.009691572384326106, 'lambda_l2': 0.00022579208325434742}",0.028258783376080072
26,"{'learning_rate': 0.0680233220074713, 'num_leaves': 176, 'max_depth': 6, 'min_data_in_leaf': 41, 'feature_fraction': 0.8492189028949945, 'bagging_fraction': 0.9612939881243288, 'bagging_freq': 6, 'lambda_l1': 9.651867049125615e-07, 'lambda_l2': 0.0013658322357602002}",0.02622625230981221
